iter	Passed	Remaining
0	17	8922
1	24	6031
2	29	4931
3	34	4272
4	38	3780
5	41	3437
6	45	3214
7	48	3012
8	52	2874
9	55	2729
10	59	2650
11	62	2553
12	66	2482
13	69	2429
14	73	2368
15	77	2336
16	80	2290
17	84	2269
18	88	2229
19	92	2212
20	95	2179
21	99	2160
22	103	2141
23	107	2124
24	110	2104
25	114	2084
26	118	2071
27	121	2052
28	125	2044
29	129	2025
30	133	2020
31	138	2018
32	142	2021
33	146	2008
34	151	2008
35	155	2004
36	159	1999
37	164	1994
38	167	1985
39	171	1975
40	175	1967
41	179	1958
42	183	1950
43	187	1940
44	191	1933
45	194	1923
46	199	1921
47	203	1913
48	207	1906
49	210	1898
50	213	1883
51	217	1873
52	221	1869
53	225	1860
54	229	1857
55	233	1847
56	237	1845
57	241	1836
58	245	1833
59	249	1826
60	253	1822
61	256	1815
62	261	1811
63	265	1805
64	269	1801
65	273	1795
66	277	1791
67	280	1784
68	284	1779
69	288	1773
70	292	1768
71	296	1763
72	300	1757
73	304	1752
74	308	1745
75	312	1741
76	315	1733
77	319	1730
78	323	1723
79	327	1719
80	331	1712
81	335	1709
82	338	1702
83	343	1699
84	346	1692
85	350	1689
86	354	1683
87	359	1681
88	362	1674
89	367	1672
90	370	1666
91	375	1663
92	378	1657
93	382	1653
94	386	1648
95	390	1644
96	394	1639
97	398	1635
98	402	1631
99	406	1627
100	410	1621
101	414	1618
102	418	1613
103	422	1609
104	426	1604
105	431	1603
106	435	1599
107	439	1596
108	443	1592
109	448	1588
110	451	1583
111	456	1580
112	460	1576
113	464	1572
114	468	1566
115	472	1563
116	475	1558
117	480	1554
118	483	1548
119	488	1545
120	491	1540
121	495	1536
122	499	1531
123	503	1526
124	507	1522
125	510	1516
126	515	1512
127	518	1507
128	522	1503
129	526	1498
130	530	1494
131	534	1488
132	538	1484
133	541	1479
134	545	1475
135	549	1470
136	553	1467
137	557	1462
138	561	1459
139	565	1454
140	569	1450
141	573	1445
142	577	1442
143	581	1437
144	586	1434
145	589	1429
146	593	1426
147	597	1421
148	602	1420
149	606	1416
150	611	1413
151	615	1409
152	619	1404
153	623	1400
154	627	1396
155	631	1392
156	635	1388
157	639	1383
158	643	1380
159	647	1375
160	651	1371
161	655	1366
162	659	1363
163	662	1358
164	667	1354
165	670	1349
166	674	1345
167	678	1340
168	682	1336
169	686	1331
170	690	1328
171	693	1323
172	698	1319
173	701	1314
174	706	1311
175	709	1306
176	713	1302
177	717	1298
178	721	1294
179	725	1289
180	729	1286
181	733	1281
182	737	1277
183	741	1273
184	745	1269
185	749	1265
186	754	1262
187	758	1258
188	762	1254
189	766	1250
190	770	1246
191	774	1241
192	778	1238
193	781	1233
194	786	1229
195	789	1225
196	793	1221
197	797	1217
198	801	1212
199	805	1208
200	809	1204
201	813	1200
202	817	1195
203	821	1191
204	825	1187
205	829	1183
206	832	1178
207	836	1174
208	840	1170
209	844	1166
210	848	1161
211	852	1157
212	855	1152
213	860	1149
214	863	1144
215	867	1140
216	871	1136
217	875	1132
218	879	1128
219	883	1124
220	887	1120
221	891	1116
222	896	1113
223	900	1109
224	903	1104
225	907	1100
226	911	1096
227	915	1092
228	919	1088
229	923	1083
230	927	1079
231	931	1075
232	935	1071
233	939	1067
234	943	1063
235	946	1059
236	951	1055
237	954	1050
238	958	1047
239	962	1042
240	966	1038
241	969	1034
242	974	1030
243	977	1025
244	981	1021
245	985	1017
246	989	1013
247	993	1009
248	997	1005
249	1001	1001
250	1005	997
