candidate,oof_mean,delta_mean,delta_min,wins,rmse_ic50,rmse_cc50,rmse_si
ic50_cat_w35,531.8987320397767,-1.2292361863648769,-1.587210580584042,3,338.95500040626666,469.79722008155835,786.943975631505
ic50_cat_w30,532.4856446419082,-0.6423235842333952,-0.819700562475532,3,340.80532314383436,469.79722008155835,786.8543907003318
ic50_trans_w10,533.0422015244898,-0.08576670165189171,-0.49228994448787944,1,342.6488091287625,469.79722008155835,786.6805753631484
ic50_trans_w8,533.0448142303463,-0.08315399579529033,-0.40885919048764663,1,342.64397636943403,469.79722008155835,786.6932462400465
ic50_trans_w12,533.0468827675342,-0.08108545860742804,-0.5681611657785197,1,342.6763578802465,469.79722008155835,786.6670703407975
ic50_trans_w15,533.0675768265779,-0.0603913995636276,-0.6677622468696427,1,342.7602619181145,469.79722008155835,786.645248480061
ic50_trans_w18,533.1046544823038,-0.02331374383785108,-0.7502880860832875,1,342.8952305060655,469.79722008155835,786.6215128592872
ic50_ext_cols,533.1279682261415,0.0,0.0,0,342.8517441920271,469.79722008155835,786.7349404048392
ic50_trans_w20,533.1384536464701,0.01048542032848824,-0.795811304292215,1,343.01355144461263,469.79722008155835,786.6045894132393
ic50_size_trans_w10,533.4542075326693,0.3262393065277062,0.09149339888506347,0,343.4603609515898,469.79722008155835,787.1050415648597
ic50_size_trans_w15,533.458946942751,0.3309787166094793,-0.01772022134719009,0,343.50106817695655,469.79722008155835,787.0785525697382
ic50_size_cols,533.5847266150555,0.45675838891399206,0.014772995977637038,0,343.81297213874956,469.79722008155835,787.143987624859
ic50_ext_trans10_cat20,533.6545292472301,0.5265610210885825,0.268795474038825,0,344.66254731731345,469.79722008155835,786.5038203428188
ic50_cat_w20,533.8186298150307,0.6906615888891565,0.4360678082132381,0,345.0907976663054,469.79722008155835,786.5678716972285
ic50_cat_w15,534.5443121853101,1.4163439591684817,0.9073817304717977,0,347.5187865605861,469.79722008155835,786.3169299137858
