candidate,seed,oof,delta_vs_ref,rmse_ic50,rmse_cc50,rmse_si
si_a28,42,527.9199743800108,0.27335390665007253,330.0213222484386,465.60127188257377,788.1373290090199
si_a30,42,527.8411123466343,0.1944918732735914,330.0213222484386,465.60127188257377,787.9007429088906
si_a32,42,527.76285877513,0.11623830176927186,330.0213222484386,465.60127188257377,787.6659821943776
si_a33,42,527.7239603327856,0.07733985942491017,330.0213222484386,465.60127188257377,787.5492868673446
si_a35,42,527.6466204733607,0.0,330.0213222484386,465.60127188257377,787.3172672890697
si_a37,42,527.5698904295889,-0.07673004377181769,330.0213222484386,465.60127188257377,787.0870771577543
si_a40,42,527.4559399380192,-0.1906805353414711,330.0213222484386,465.60127188257377,786.7452256830454
si_a42,42,527.3807367668826,-0.265883706478121,330.0213222484386,465.60127188257377,786.5196161696354
si_a45,42,527.2690790601972,-0.3775414131634989,330.0213222484386,465.60127188257377,786.1846430495792
si_rw15,42,527.4315205369302,-0.2150999364305335,330.0213222484386,465.60127188257377,786.6719674797782
si_rw20,42,527.5024486080283,-0.144171865332396,330.0213222484386,465.60127188257377,786.8847516930725
si_rw25,42,527.5741487977867,-0.07247167557397916,330.0213222484386,465.60127188257377,787.0998522623477
si_rw30,42,527.6466204733607,0.0,330.0213222484386,465.60127188257377,787.3172672890697
si_rw35,42,527.7198629957992,0.07324252243847695,330.0213222484386,465.60127188257377,787.5369948563849
si_rw40,42,527.7938757200709,0.14725524671018775,330.0213222484386,465.60127188257377,787.7590330292003
si_rw45,42,527.8686579950931,0.22203752173243174,330.0213222484386,465.60127188257377,787.9833798542669
si_rw50,42,527.944209163758,0.29758869039733327,330.0213222484386,465.60127188257377,788.2100333602617
si_a32_rw25,42,527.6956656832638,0.049045209903056275,330.0213222484386,465.60127188257377,787.4644029187789
si_a33_rw25,42,527.6549881303371,0.008367656976361104,330.0213222484386,465.60127188257377,787.3423702599989
si_a37_rw35,42,527.6466452865693,2.481320859715197e-05,330.0213222484386,465.60127188257377,787.3173417286955
si_a40_rw35,42,527.5378257718263,-0.10879470153440707,330.0213222484386,465.60127188257377,786.9908831844665
si_a30_rw20,42,527.7145256289938,0.06790515563307054,330.0213222484386,465.60127188257377,787.520982755969
si_a28,2024,535.6858019561406,0.32421061437207754,350.8335995993856,468.8330765453228,787.3907297237134
si_a30,2024,535.5922709271181,0.2306795853495487,350.8335995993856,468.8330765453228,787.1101366366457
si_a32,2024,535.4994590564655,0.13786771469699488,350.8335995993856,468.8330765453228,786.8317010246882
si_a33,2024,535.4533230443836,0.09173170261510677,350.8335995993856,468.8330765453228,786.6932929884426
si_a35,2024,535.3615913417685,0.0,350.8335995993856,468.8330765453228,786.4180978805972
si_a37,2024,535.2705806977424,-0.09101064402614156,350.8335995993856,468.8330765453228,786.1450659485187
si_a40,2024,535.1354183592052,-0.22617298256329832,350.8335995993856,468.8330765453228,785.7395789329072
si_a42,2024,535.0462136388519,-0.3153777029166349,350.8335995993856,468.8330765453228,785.4719647718472
si_a45,2024,534.9137636642363,-0.4478276775322456,350.8335995993856,468.8330765453228,785.0746148480006
si_rw15,2024,535.1245992632967,-0.23699207847187154,350.8335995993856,468.8330765453228,785.7071216451817
si_rw20,2024,535.2026234532126,-0.15896788855593513,350.8335995993856,468.8330765453228,785.9411942149295
si_rw25,2024,535.2816211060635,-0.07997023570499096,350.8335995993856,468.8330765453228,786.1781871734821
si_rw30,2024,535.3615913417685,0.0,350.8335995993856,468.8330765453228,786.4180978805972
si_rw35,2024,535.4425332704917,0.08094192872317763,350.8335995993856,468.8330765453228,786.6609236667667
si_rw40,2024,535.5244459926902,0.16285465092164486,350.8335995993856,468.8330765453228,786.9066618333621
si_rw45,2024,535.6073285991621,0.24573725739355723,350.8335995993856,468.8330765453228,787.1553096527778
si_rw50,2024,535.6911801710954,0.3295888293268945,350.8335995993856,468.8330765453228,787.4068643685779
si_a32_rw25,2024,535.4251892941749,0.06359795240632593,350.8335995993856,468.8330765453228,786.6088917378163
si_a33_rw25,2024,535.3771288823485,0.015537540579998677,350.8335995993856,468.8330765453228,786.464710502337
si_a37_rw35,2024,535.3553167745722,-0.006274567196328462,350.8335995993856,468.8330765453228,786.3992741790082
si_a40_rw35,2024,535.2256756076791,-0.1359157340893944,350.8335995993856,468.8330765453228,786.010350678329
si_a30_rw20,2024,535.452287195335,0.09069585356644438,350.8335995993856,468.8330765453228,786.6901854412964
si_a28,7,536.6757376264227,0.30004476312717543,347.7003107282572,474.9573118167785,787.3695903342323
si_a30,7,536.5892804236597,0.21358756036420345,347.7003107282572,474.9573118167785,787.1102187259437
si_a32,7,536.503407036351,0.12771417305543764,347.7003107282572,474.9573118167785,786.8525985640174
si_a33,7,536.4606894528715,0.08499658957600786,347.7003107282572,474.9573118167785,786.7244458135789
si_a35,7,536.3756928632955,0.0,347.7003107282572,474.9573118167785,786.4694560448509
si_a37,7,536.2912815172948,-0.08441134600070654,347.7003107282572,474.9573118167785,786.2162220068487
si_a40,7,536.1657630665641,-0.20992979673144418,347.7003107282572,474.9573118167785,785.8396666546565
si_a42,7,536.0828172973723,-0.2928755659231683,347.7003107282572,474.9573118167785,785.5908293470814
