candidate,oof_mean,delta_mean,wins,si_rmse
si_cb_k60_w25,529.7922635754632,0.03360889024323418,0,787.2576927055853
si_cb_k90_w25,529.7927916206706,0.03413693545064689,0,787.2592768412077
si_cb_k120_w25,529.797201550849,0.038546865628935244,0,787.2725066317425
si_cb_k150_w25,529.8010931551881,0.04243846996818471,0,787.2841814447602
si_cb_k60_w35,529.8060465960511,0.04739191083118991,0,787.2990417673492
si_cb_k90_w35,529.8067158114213,0.048061126201294734,0,787.3010494134596
si_cb_k120_w35,529.8128608468112,0.05420616159119618,0,787.3194845196291
si_cb_k150_w35,529.818343735233,0.05968905001301058,0,787.3359331848947
si_cb_k60_w45,529.8200235504704,0.06136886525045308,0,787.3409726306069
si_cb_k90_w45,529.8207939151358,0.06213922991590456,0,787.3432837246033
si_cb_k120_w45,529.8286575621131,0.07000287689311335,0,787.366874665535
si_cb_k60_w55,529.8341944074558,0.07553972223574117,0,787.3834852015628
si_cb_k90_w55,529.8350259051546,0.07637121993460975,0,787.3859796946595
si_cb_k150_w45,529.8357515212932,0.07709683607326194,0,787.3881565430753
si_cb_k120_w55,529.8445916713696,0.08593698614966645,0,787.4146769933046
si_cb_k150_w55,529.8533164819028,0.09466179668277164,0,787.4408514249039
