name,ic50_w,fr_w,s42,s2024,s7,mean,mean_d,wins,ic50,cc50,si
ic70_fr40,0.7,0.4,525.0413657419691,528.6545661589911,530.0759829877035,527.9239716295546,-0.1087541789458631,2,322.82669652567677,464.4606349087003,787.8367657915303
ic70_fr42,0.7,0.42,525.094404304937,528.6545527042331,530.0511779870711,527.9333783320805,-0.0993474764200073,2,322.9858122145805,464.4606349087003,787.8367657915303
ic68_fr40,0.68,0.4,525.0215897563586,528.7080033028275,530.1550685103059,527.9615538564973,-0.0711719520030935,2,322.7784580437843,464.4606349087003,787.8256763165914
ic70_fr45,0.7,0.45,525.191443414971,528.67127873466,530.0298417669902,527.964187972207,-0.06853783629336856,2,323.2769295446824,464.4606349087003,787.8367657915303
ic68_fr42,0.68,0.42,525.0757786357927,528.7069961941728,530.127915621462,527.9702301504758,-0.06249565802458316,2,322.9410246820866,464.4606349087003,787.8256763165914
ic68_fr45,0.68,0.45,525.1744648440641,528.7221197592316,530.1029858508122,527.9998568180359,-0.03286899046444584,2,323.2370833069006,464.4606349087003,787.8256763165914
ic65_fr40,0.65,0.4,524.9988620432713,528.7955982182165,530.2825026186551,528.025654293381,-0.007071515119453882,1,322.7278094621537,464.4606349087003,787.8081417589598
ic65_fr42,0.65,0.42,525.0542988406411,528.7925575306022,530.251321054258,528.0327258085003,0.0,0,322.89411985426335,464.4606349087003,787.8081417589598
ic65_fr45,0.65,0.45,525.1547693203214,528.8044964483528,530.220271844063,528.0598458709123,0.027120062411957708,0,323.19553129330416,464.4606349087003,787.8081417589598
ic62_fr40,0.62,0.4,524.9844028277852,528.8921820920258,530.4198003496386,528.0987950898166,0.06606928131611767,1,322.7032222858999,464.4606349087003,787.7893512887554
ic62_fr42,0.62,0.42,525.0405140025255,528.8864579804444,530.3839847781811,528.103652253717,0.07092644521659015,0,322.8715558101208,464.4606349087003,787.7893512887554
ic62_fr45,0.62,0.45,525.1419444851769,528.8942777450305,530.345945190163,528.1273891401235,0.09466333162303424,0,323.1758472580747,464.4606349087003,787.7893512887554
