name,oof_mean,delta_mean,delta_min,wins,si_rmse,ic50_rmse,cc50_rmse,section
si_trans_k5_w30,526.8221344588093,-1.2105913496911096,-1.4715093001075275,3,783.5726896703108,327.0628835373159,469.83083016880124,fast
si_trans_k8_w30,526.9116301295991,-1.1210956789013078,-1.281370320706742,3,783.8411766826803,327.0628835373159,469.83083016880124,fast
si_trans_k5_w25,526.9632875789408,-1.0694382295595233,-1.245412570134249,3,783.9961490307054,327.0628835373159,469.83083016880124,fast
si_huber_w40,527.0325760831132,-1.00014972538717,-1.4658698040976788,3,784.2040145432226,327.0628835373159,469.83083016880124,fast
si_trans_k8_w25,527.0392711938308,-0.9934546146695311,-1.088216859595832,3,784.2240998753755,327.0628835373159,469.83083016880124,fast
si_trans_k3_w30,527.0801665991763,-0.9525592093240979,-1.3271131567091743,3,784.3467860914119,327.0628835373159,469.83083016880124,fast
si_trans_k5_w20,527.1287396766998,-0.9039861318006311,-1.0116258223027899,3,784.4925053239822,327.0628835373159,469.83083016880124,fast
si_trans_k3_w25,527.177722652868,-0.8550031556324029,-1.1229803510352667,3,784.6394542524868,327.0628835373159,469.83083016880124,fast
si_trans_k8_w20,527.1906437300614,-0.8420820784390344,-0.9017711998294544,3,784.678217484067,327.0628835373159,469.83083016880124,fast
si_mordred_w35,527.2086508008048,-0.824075007695607,-0.8832195670247529,3,784.7322386962973,327.0628835373159,469.83083016880124,fast
si_huber_w30,527.27295909973,-0.7597667087704091,-1.1113123171959387,3,784.9251635930729,327.0628835373159,469.83083016880124,fast
si_trans_k3_w20,527.2997884632273,-0.7329373452731716,-0.9120039055275129,3,785.0056516835647,327.0628835373159,469.83083016880124,fast
si_trans_k5_w15,527.3184578090694,-0.7142679994310583,-0.7701696773311824,3,785.061659721091,327.0628835373159,469.83083016880124,fast
si_mordred_w30,527.3226124656182,-0.7101133428821716,-0.760623347075466,3,785.0741236907378,327.0628835373159,469.83083016880124,fast
si_ratio_mordred_w30,527.3226124656182,-0.7101133428821716,-0.760623347075466,3,785.0741236907378,327.0628835373159,469.83083016880124,fast
si_trans_k8_w15,527.3657190555682,-0.6670067529322145,-0.6996891423876832,3,785.2034434605876,327.0628835373159,469.83083016880124,fast
si_mordred_w25,527.4378313678443,-0.5948944406561244,-0.6368316105426857,3,785.4197803974157,327.0628835373159,469.83083016880124,fast
si_ratio_mordred_w25,527.4378313678443,-0.5948944406561244,-0.6368316105426857,3,785.4197803974157,327.0628835373159,469.83083016880124,fast
si_trans_k3_w15,527.4463510599832,-0.5863747485172249,-0.6942003760381112,3,785.4453394738324,327.0628835373159,469.83083016880124,fast
si_morgan_w35,527.4466790037411,-0.5860468047593107,-0.6165930279623808,3,785.4463233051061,327.0628835373159,469.83083016880124,fast
si_huber_w20,527.519791197977,-0.5129346105234163,-0.7487927227730324,3,785.6656598878138,327.0628835373159,469.83083016880124,fast
si_ratio_morgan_w30,527.5286185265107,-0.504107281989756,-0.5296690047848642,3,785.6921418734149,327.0628835373159,469.83083016880124,fast
si_morgan_w30,527.5286185265107,-0.504107281989756,-0.5296690047848642,3,785.6921418734149,327.0628835373159,469.83083016880124,fast
si_mord_w25_ratio15,527.5543058473681,-0.47841996113231744,-0.511846053556269,3,785.7692038359872,327.0628835373159,469.83083016880124,fast
si_mordred_w20,527.5543058473681,-0.47841996113231744,-0.511846053556269,3,785.7692038359872,327.0628835373159,469.83083016880124,fast
si_ratio_mordred_w20,527.5543058473681,-0.47841996113231744,-0.511846053556269,3,785.7692038359872,327.0628835373159,469.83083016880124,fast
si_a45,527.5879542616683,-0.44477154683211967,-0.47513268910711304,3,785.8701490788877,327.0628835373159,469.83083016880124,config
si_ratio_morgan_w25,527.6111527911144,-0.42157301738605685,-0.44235743611397993,3,785.939744667226,327.0628835373159,469.83083016880124,fast
si_morgan_w25,527.6111527911144,-0.42157301738605685,-0.44235743611397993,3,785.939744667226,327.0628835373159,469.83083016880124,fast
si_mord_w20_ratio15,527.6130134056867,-0.41971240281369165,-0.44890612601955127,3,785.9453265109431,327.0628835373159,469.83083016880124,fast
si_mordred_w15,527.6720342289308,-0.36069157956959924,-0.3856683853495042,3,786.1223889806753,327.0628835373159,469.83083016880124,fast
si_ratio_mordred_w15,527.6720342289308,-0.36069157956959924,-0.3856683853495042,3,786.1223889806753,327.0628835373159,469.83083016880124,fast
si_morgan_w20,527.6942812460578,-0.3384445624426462,-0.3546587090321509,3,786.1891300320563,327.0628835373159,469.83083016880124,fast
si_ratio_morgan_w20,527.6942812460578,-0.3384445624426462,-0.3546587090321509,3,786.1891300320563,327.0628835373159,469.83083016880124,fast
si_fr_only_w35,527.7112240821591,-0.32150172634131496,-0.38040384742168953,3,786.2399585403601,327.0628835373159,469.83083016880124,fast
si_a42,527.7194468422372,-0.31327896626320734,-0.3347302561669494,3,786.2646268205945,327.0628835373159,469.83083016880124,config
si_fr_only_w30,527.7553556579874,-0.2773701505130551,-0.3275364808927179,3,786.372353267845,327.0628835373159,469.83083016880124,fast
si_ratio_fr_only_w30,527.7553556579874,-0.2773701505130551,-0.3275364808927179,3,786.372353267845,327.0628835373159,469.83083016880124,fast
si_morgan_w15,527.7780033360967,-0.2547224724037657,-0.266573211819491,3,786.4402963021727,327.0628835373159,469.83083016880124,fast
si_ratio_morgan_w15,527.7780033360967,-0.2547224724037657,-0.266573211819491,3,786.4402963021727,327.0628835373159,469.83083016880124,fast
si_rw15,527.7995683670899,-0.2331574414104883,-0.24229328274714135,3,786.5049913951525,327.0628835373159,469.83083016880124,config
si_fr_only_w25,527.8000868106124,-0.2326389978881025,-0.27417659530976835,3,786.5065467257197,327.0628835373159,469.83083016880124,fast
si_ratio_fr_only_w25,527.8000868106124,-0.2326389978881025,-0.27417659530976835,3,786.5065467257197,327.0628835373159,469.83083016880124,fast
si_a40_rw30,527.808032625322,-0.22469318317841194,-0.24010991638544965,3,786.5303841698488,327.0628835373159,469.83083016880124,config
si_a40,527.808032625322,-0.22469318317841194,-0.24010991638544965,3,786.5303841698488,327.0628835373159,469.83083016880124,config
si_fr_only_w20,527.845417246781,-0.18730856171941923,-0.22032449153448397,3,786.6425380342258,327.0628835373159,469.83083016880124,fast
si_ratio_fr_only_w20,527.845417246781,-0.18730856171941923,-0.22032449153448397,3,786.6425380342258,327.0628835373159,469.83083016880124,fast
si_rw20,527.8764562078667,-0.15626960063381526,-0.16250045507774757,3,786.7356549174827,327.0628835373159,469.83083016880124,config
si_ratio_fr_only_w15,527.8913466688533,-0.14137913964714244,-0.16598047295462948,3,786.7803263004427,327.0628835373159,469.83083016880124,fast
si_fr_only_w15,527.8913466688533,-0.14137913964714244,-0.16598047295462948,3,786.7803263004427,327.0628835373159,469.83083016880124,fast
si_a37,527.9422955136229,-0.09043029487755423,-0.09665353591219628,3,786.9331728347515,327.0628835373159,469.83083016880124,config
si_rw25,527.9541756020509,-0.07855020644952522,-0.08173572821021935,3,786.9688131000356,327.0628835373159,469.83083016880124,config
si_a37_rw35,528.0254552932965,-0.007270515203837628,-0.0101086196941651,0,787.1826521737726,327.0628835373159,469.83083016880124,config
si_rw30,528.0327258085005,0.0,0.0,0,787.2044637193843,327.0628835373159,469.83083016880124,config
si_a35,528.0327258085005,0.0,0.0,0,787.2044637193843,327.0628835373159,469.83083016880124,config
si_a33_rw25,528.0491115088208,0.016385700320446023,0.013314716887634859,0,787.2536208203454,327.0628835373159,469.83083016880124,config
si_cb_k60_w25,528.0663937312784,0.033667922777946536,0.01982325589813172,0,787.305467487718,327.0628835373159,469.83083016880124,config
si_cb_k90_w25,528.066926786386,0.034200977885651206,0.025482064302195795,0,787.3070666530408,327.0628835373159,469.83083016880124,config
si_cb_k120_w25,528.0713367290308,0.03861092053038343,0.032111950697412794,0,787.3202964809752,327.0628835373159,469.83083016880124,config
si_abs_extra_w20,528.0779313550721,0.045205546571727005,0.030000131543374664,0,787.3400803590994,327.0628835373159,469.83083016880124,fast
si_cb_k60_w35,528.0802003471898,0.047474538689319466,0.027953478687095412,0,787.3468873354522,327.0628835373159,469.83083016880124,config
si_cb_k90_w35,528.0808765735661,0.04815076506565674,0.0358281026711893,0,787.348916014581,327.0628835373159,469.83083016880124,config
si_cb_k120_w35,528.087021625136,0.05429581663562052,0.045199579081213415,0,787.367351169291,327.0628835373159,469.83083016880124,config
si_cb_k60_w45,528.0942008866863,0.06147507818589778,0.03619849724123014,0,787.3888889539418,327.0628835373159,469.83083016880124,config
si_cb_k90_w45,528.0949802618808,0.06225445338039511,0.04626167565493233,0,787.3912270795254,327.0628835373159,469.83083016880124,config
si_a32_rw25,528.0968883676395,0.06416255913912512,0.05718188444814132,0,787.3969513968013,327.0628835373159,469.83083016880124,config
si_cb_k120_w45,528.1028439280573,0.07011811955688547,0.05842594678631485,0,787.4148180780549,327.0628835373159,469.83083016880124,config
si_abs_extra_w30,528.1032888261698,0.07056301766931483,0.04733958965312013,0,787.4161527723921,327.0628835373159,469.83083016880124,fast
si_quantile_w20,528.1071938837923,0.07446807529197486,0.04316285130380493,0,787.42786794526,327.0628835373159,469.83083016880124,fast
si_rw35,528.1121060789573,0.07938027045675729,0.07461496489338515,0,787.4426045307545,327.0628835373159,469.83083016880124,config
si_a33,528.1238925735422,0.09116676504178638,0.08362078417826524,0,787.4779640145094,327.0628835373159,469.83083016880124,config
si_abs_extra_w40,528.13048205152,0.09775624301952728,0.06623823960137543,0,787.4977324484429,327.0628835373159,469.83083016880124,fast
si_quantile_w30,528.1473360654131,0.11461025691266968,0.06694723120540402,0,787.548294490122,327.0628835373159,469.83083016880124,fast
si_a32,528.1697518918363,0.1370260833359301,0.12568714113785973,0,787.6155419693919,327.0628835373159,469.83083016880124,config
si_quantile_w40,528.1894157364728,0.1566899279724415,0.09219972360313022,0,787.6745335033015,327.0628835373159,469.83083016880124,fast
si_rw40,528.1923156580818,0.159589849581342,0.1499988716363987,0,787.6832332681282,327.0628835373159,469.83083016880124,config
si_a30,528.262021916084,0.22929610758357435,0.21033137509618882,0,787.8923520421348,327.0628835373159,469.83083016880124,config
si_rw45,528.2733537834891,0.24062797498872138,0.2261510585913129,0,787.9263476443502,327.0628835373159,469.83083016880124,config
si_a28,528.3550264749671,0.32230066646673095,0.2956570862472745,0,788.1713657187843,327.0628835373159,469.83083016880124,config
