name,oof_mean,delta_mean,delta_min,wins,si_rmse,ic50_rmse,cc50_rmse
si_a45,527.5879542616683,-0.44477154683211967,-0.47513268910711304,3,785.8701490788877,327.0628835373159,469.83083016880124
si_a42,527.7194468422372,-0.31327896626320734,-0.3347302561669494,3,786.2646268205945,327.0628835373159,469.83083016880124
si_rw15,527.7995683670899,-0.2331574414104883,-0.24229328274714135,3,786.5049913951525,327.0628835373159,469.83083016880124
si_a40,527.808032625322,-0.22469318317841194,-0.24010991638544965,3,786.5303841698488,327.0628835373159,469.83083016880124
si_a40_rw30,527.808032625322,-0.22469318317841194,-0.24010991638544965,3,786.5303841698488,327.0628835373159,469.83083016880124
si_rw20,527.8764562078667,-0.15626960063381526,-0.16250045507774757,3,786.7356549174827,327.0628835373159,469.83083016880124
si_a37,527.9422955136229,-0.09043029487755423,-0.09665353591219628,3,786.9331728347515,327.0628835373159,469.83083016880124
si_rw25,527.9541756020509,-0.07855020644952522,-0.08173572821021935,3,786.9688131000356,327.0628835373159,469.83083016880124
si_a37_rw35,528.0254552932965,-0.007270515203837628,-0.0101086196941651,0,787.1826521737726,327.0628835373159,469.83083016880124
si_rw30,528.0327258085005,0.0,0.0,0,787.2044637193843,327.0628835373159,469.83083016880124
si_a35,528.0327258085005,0.0,0.0,0,787.2044637193843,327.0628835373159,469.83083016880124
si_a33_rw25,528.0491115088208,0.016385700320446023,0.013314716887634859,0,787.2536208203454,327.0628835373159,469.83083016880124
si_cb_k60_w25,528.0663937312784,0.033667922777946536,0.01982325589813172,0,787.305467487718,327.0628835373159,469.83083016880124
si_cb_k90_w25,528.066926786386,0.034200977885651206,0.025482064302195795,0,787.3070666530408,327.0628835373159,469.83083016880124
si_cb_k120_w25,528.0713367290308,0.03861092053038343,0.032111950697412794,0,787.3202964809752,327.0628835373159,469.83083016880124
si_cb_k60_w35,528.0802003471898,0.047474538689319466,0.027953478687095412,0,787.3468873354522,327.0628835373159,469.83083016880124
si_cb_k90_w35,528.0808765735661,0.04815076506565674,0.0358281026711893,0,787.348916014581,327.0628835373159,469.83083016880124
si_cb_k120_w35,528.087021625136,0.05429581663562052,0.045199579081213415,0,787.367351169291,327.0628835373159,469.83083016880124
si_cb_k60_w45,528.0942008866863,0.06147507818589778,0.03619849724123014,0,787.3888889539418,327.0628835373159,469.83083016880124
si_cb_k90_w45,528.0949802618808,0.06225445338039511,0.04626167565493233,0,787.3912270795254,327.0628835373159,469.83083016880124
si_a32_rw25,528.0968883676395,0.06416255913912512,0.05718188444814132,0,787.3969513968013,327.0628835373159,469.83083016880124
si_cb_k120_w45,528.1028439280573,0.07011811955688547,0.05842594678631485,0,787.4148180780549,327.0628835373159,469.83083016880124
si_rw35,528.1121060789573,0.07938027045675729,0.07461496489338515,0,787.4426045307545,327.0628835373159,469.83083016880124
si_a33,528.1238925735422,0.09116676504178638,0.08362078417826524,0,787.4779640145094,327.0628835373159,469.83083016880124
si_a32,528.1697518918363,0.1370260833359301,0.12568714113785973,0,787.6155419693919,327.0628835373159,469.83083016880124
si_rw40,528.1923156580818,0.159589849581342,0.1499988716363987,0,787.6832332681282,327.0628835373159,469.83083016880124
si_a30,528.262021916084,0.22929610758357435,0.21033137509618882,0,787.8923520421348,327.0628835373159,469.83083016880124
si_rw45,528.2733537834891,0.24062797498872138,0.2261510585913129,0,787.9263476443502,327.0628835373159,469.83083016880124
si_a28,528.3550264749671,0.32230066646673095,0.2956570862472745,0,788.1713657187843,327.0628835373159,469.83083016880124
