name,seed,oof,delta,si_rmse,ic50_rmse,cc50_rmse
si_fr_only_w15,42,524.9139048311658,-0.14039400947524427,787.3869597305339,322.89411985426335,464.4606349087003
si_fr_only_w15,2024,528.6265770576475,-0.16598047295462948,786.328795168735,332.9790432015475,466.5718928026599
si_fr_only_w15,7,530.1335581177465,-0.11776293651155356,786.6252240020591,325.3154875561368,478.45996279504357
si_fr_only_w20,42,524.8679465835552,-0.18635225708590042,787.2490849877018,322.89411985426335,464.4606349087003
si_fr_only_w20,2024,528.5722330390677,-0.22032449153448397,786.1657631129956,332.9790432015475,466.5718928026599
si_fr_only_w20,7,530.0960721177202,-0.1552489365378733,786.5127660019801,325.3154875561368,478.45996279504357
si_fr_only_w25,42,524.8224085831381,-0.23189025750298242,787.1124709864507,322.89411985426335,464.4606349087003
si_fr_only_w25,2024,528.5183809352924,-0.27417659530976835,786.0042068016695,332.9790432015475,466.5718928026599
si_fr_only_w25,7,530.0594709134065,-0.19185014085155672,786.402962389039,325.3154875561368,478.45996279504357
si_fr_only_w30,42,524.7772910487711,-0.27700779187000535,786.9771183833495,322.89411985426335,464.4606349087003
si_fr_only_w30,2024,528.4650210497094,-0.3275364808927179,785.844127144921,332.9790432015475,466.5718928026599
si_fr_only_w30,7,530.0237548754816,-0.22756617877644203,786.2958142752644,325.3154875561368,478.45996279504357
si_fr_only_w35,42,524.7325941974395,-0.32170464320154224,786.843027829355,322.89411985426335,464.4606349087003
si_fr_only_w35,2024,528.4121536831805,-0.38040384742168953,785.6855250453341,332.9790432015475,466.5718928026599
si_fr_only_w35,7,529.9889243658573,-0.2623966884007132,786.1913227463915,325.3154875561368,478.45996279504357
si_mordred_w15,42,524.7315262421113,-0.32277259852980933,786.8398239633703,322.89411985426335,464.4606349087003
si_mordred_w15,2024,528.4068891452526,-0.3856683853495042,785.6697314315504,332.9790432015475,466.5718928026599
si_mordred_w15,7,529.8776872994285,-0.37363375482948413,785.8576115471052,325.3154875561368,478.45996279504357
si_mordred_w20,42,524.6263772375917,-0.4279216030494126,786.5243769498113,322.89411985426335,464.4606349087003
si_mordred_w20,2024,528.2807114770459,-0.511846053556269,785.2911984269301,332.9790432015475,466.5718928026599
