name,oof_mean,delta_mean,delta_min,wins,si_rmse,ic50_rmse,cc50_rmse
si_trans_k5_w35,526.7053029596699,-1.3274228488305653,-1.6898959994141478,3,783.2221951728925,327.0628835373159,469.83083016880124
si_trans_k4_w35,526.7509155407155,-1.2818102677849386,-1.6889657189078662,3,783.3590329160293,327.0628835373159,469.83083016880124
si_trans_k5_w32,526.7724823434713,-1.2602434650290963,-1.5597902836049116,3,783.4237333242968,327.0628835373159,469.83083016880124
si_trans_k7_w35,526.7791617949152,-1.2535640135851434,-1.5224444525490526,3,783.4437716786287,327.0628835373159,469.83083016880124
si_trans_k6_w35,526.7889550123793,-1.2437707961210738,-1.5594297489587916,3,783.4731513310207,327.0628835373159,469.83083016880124
si_trans_k4_w32,526.8127435776252,-1.2199822308753028,-1.5583953744444443,3,783.5445170267582,327.0628835373159,469.83083016880124
si_trans_k5_w30,526.8221344588093,-1.2105913496911096,-1.4715093001075275,3,783.5726896703108,327.0628835373159,469.83083016880124
si_trans_k7_w32,526.8408370712397,-1.191888737260797,-1.4058370054988245,3,783.6287975076017,327.0628835373159,469.83083016880124
si_trans_k6_w32,526.8497386788249,-1.1829871296755528,-1.4397048246319173,3,783.6555023303573,327.0628835373159,469.83083016880124
si_trans_k4_w30,526.8589757190263,-1.1737500894740833,-1.4698616363075416,3,783.6832134509618,327.0628835373159,469.83083016880124
si_trans_k5_w28,526.8756781492117,-1.1570476592886887,-1.3819947047987853,3,783.733320741518,327.0628835373159,469.83083016880124
si_trans_k7_w30,526.8867320958326,-1.1459937126678217,-1.3266451542608593,3,783.7664825813807,327.0628835373159,469.83083016880124
si_trans_k6_w30,526.8950444470639,-1.137681361436459,-1.358428964345876,3,783.7914196350748,327.0628835373159,469.83083016880124
si_trans_k4_w28,526.9092180985643,-1.1235077099360826,-1.3801398348116436,3,783.8339405895758,327.0628835373159,469.83083016880124
si_trans_k7_w28,526.936448819688,-1.096276988812292,-1.246291692707473,3,783.9156327529473,327.0628835373159,469.83083016880124
si_trans_k6_w28,526.9441760908772,-1.0885497176231336,-1.2759869786277704,3,783.9388145665147,327.0628835373159,469.83083016880124
si_trans_k5_w25,526.9632875789408,-1.0694382295595233,-1.245412570134249,3,783.9961490307054,327.0628835373159,469.83083016880124
si_trans_k4_w25,526.9920990916906,-1.0406267168097731,-1.2433321975495346,3,784.0825835689548,327.0628835373159,469.83083016880124
si_trans_k7_w25,527.0181873090168,-1.0145384994837439,-1.1302396834593083,3,784.1608482209331,327.0628835373159,469.83083016880124
si_trans_k6_w25,527.0250448942804,-1.0076809142199938,-1.1501399347631605,3,784.181420976724,327.0628835373159,469.83083016880124
si_trans_k5_w22,527.0596448384306,-0.973080970069835,-1.1060620173684583,3,784.2852208091745,327.0628835373159,469.83083016880124
si_trans_k4_w22,527.0839974733193,-0.9487283351811205,-1.103858373114349,3,784.3582787138407,327.0628835373159,469.83083016880124
si_trans_k7_w22,527.108517781698,-0.9242080268024134,-1.0154264069205965,3,784.4318396389767,327.0628835373159,469.83083016880124
si_trans_k6_w22,527.1145153416315,-0.9182104668688756,-1.0216753843765218,3,784.4498323187773,327.0628835373159,469.83083016880124
