name,seed,oof,delta,ic50,cc50,si
ic50_mordred_w15,42,524.352403049658,-0.7018957909830306,320.7884324813141,464.4606349087003,787.8081417589598
ic50_mordred_w15,2024,528.3183246854247,-0.4742328451774256,331.55634466601504,466.5718928026599,786.8267365875992
ic50_mordred_w15,7,529.8285300266629,-0.4227910275951672,324.0471144733511,478.45996279504357,786.9785128115939
ic50_mordred_w20,42,524.1602078508295,-0.894090989811616,320.2118468848284,464.4606349087003,787.8081417589598
ic50_mordred_w20,2024,528.1960643640826,-0.5964931665195081,331.18956370198873,466.5718928026599,786.8267365875992
ic50_mordred_w20,7,529.727099065456,-0.5242219888020827,323.74282158973017,478.45996279504357,786.9785128115939
ic50_mordred_w25,42,523.9890962511463,-1.0652025894947883,319.6985120857788,464.4606349087003,787.8081417589598
ic50_mordred_w25,2024,528.0918192191745,-0.700738311427699,330.8768282672645,466.5718928026599,786.8267365875992
ic50_mordred_w25,7,529.6455197239364,-0.605801330321583,323.49808356517184,478.45996279504357,786.9785128115939
ic50_mordred_w30,42,523.8391699545388,-1.2151288861023204,319.2487331959562,464.4606349087003,787.8081417589598
ic50_mordred_w30,2024,528.0056403729658,-0.7869171576363669,330.6182917286382,466.5718928026599,786.8267365875992
ic50_mordred_w30,7,529.5838370833108,-0.6674839709472735,323.3130356432947,478.45996279504357,786.9785128115939
ic50_mordred_w35,42,523.710518611227,-1.343780229414051,318.862779166021,464.4606349087003,787.8081417589598
ic50_mordred_w35,2024,527.9375702340535,-0.8549872965486429,330.41408131190167,466.5718928026599,786.8267365875992
ic50_mordred_w35,7,529.5420853204006,-0.7092357338574402,323.1877803545644,478.45996279504357,786.9785128115939
ic50_morgan_w15,42,525.0270122018104,-0.027286638830673837,322.8122599377712,464.4606349087003,787.8081417589598
ic50_morgan_w15,2024,528.4036945833479,-0.38886294725421067,331.8124543597848,466.5718928026599,786.8267365875992
ic50_morgan_w15,7,530.3097823248163,0.05846127055826855,325.49087136781134,478.45996279504357,786.9785128115939
ic50_morgan_w20,42,525.0556989421337,0.0014001014926634525,322.8983201587411,464.4606349087003,787.8081417589598
ic50_morgan_w20,2024,528.3185709530973,-0.4739865775048884,331.55708346903265,466.5718928026599,786.8267365875992
ic50_morgan_w20,7,530.3699726835524,0.11865162929439066,325.67144244401976,478.45996279504357,786.9785128115939
ic50_morgan_w25,42,525.1032599476684,0.04896110702736678,323.04100317534517,464.4606349087003,787.8081417589598
ic50_morgan_w25,2024,528.2557929328209,-0.5367645977812572,331.36874940820377,466.5718928026599,786.8267365875992
ic50_morgan_w25,7,530.4504678291995,0.19914677494148236,325.91292788096104,478.45996279504357,786.9785128115939
ic50_morgan_w30,42,525.1696702242785,0.11537138363746635,323.24023400517575,464.4606349087003,787.8081417589598
ic50_morgan_w30,2024,528.2153986369744,-0.5771588936277112,331.2475665206643,466.5718928026599,786.8267365875992
ic50_morgan_w30,7,530.5512226690448,0.29990161478679056,326.2151924004969,478.45996279504357,786.9785128115939
ic50_morgan_w35,42,525.2548949459722,0.20059610533110117,323.4959081702565,464.4606349087003,787.8081417589598
ic50_morgan_w35,2024,528.1974126360016,-0.5951448946005939,331.1936085177459,466.5718928026599,786.8267365875992
ic50_morgan_w35,7,530.6721809489876,0.4208598947295741,326.57806724032554,478.45996279504357,786.9785128115939
fr35_mord15,42,524.352403049658,-0.7018957909830306,320.7884324813141,464.4606349087003,787.8081417589598
fr35_mord15,2024,528.3183246854247,-0.4742328451774256,331.55634466601504,466.5718928026599,786.8267365875992
fr35_mord15,7,529.8285300266629,-0.4227910275951672,324.0471144733511,478.45996279504357,786.9785128115939
fr35_mord20,42,524.1602078508295,-0.894090989811616,320.2118468848284,464.4606349087003,787.8081417589598
fr35_mord20,2024,528.1960643640826,-0.5964931665195081,331.18956370198873,466.5718928026599,786.8267365875992
fr35_mord20,7,529.727099065456,-0.5242219888020827,323.74282158973017,478.45996279504357,786.9785128115939
fr35_mord25,42,523.9890962511463,-1.0652025894947883,319.6985120857788,464.4606349087003,787.8081417589598
fr35_mord25,2024,528.0918192191745,-0.700738311427699,330.8768282672645,466.5718928026599,786.8267365875992
fr35_mord25,7,529.6455197239364,-0.605801330321583,323.49808356517184,478.45996279504357,786.9785128115939
fr42_mord15,42,524.352403049658,-0.7018957909830306,320.7884324813141,464.4606349087003,787.8081417589598
fr42_mord15,2024,528.3183246854247,-0.4742328451774256,331.55634466601504,466.5718928026599,786.8267365875992
fr42_mord15,7,529.8285300266629,-0.4227910275951672,324.0471144733511,478.45996279504357,786.9785128115939
fr42_mord20,42,524.1602078508295,-0.894090989811616,320.2118468848284,464.4606349087003,787.8081417589598
fr42_mord20,2024,528.1960643640826,-0.5964931665195081,331.18956370198873,466.5718928026599,786.8267365875992
fr42_mord20,7,529.727099065456,-0.5242219888020827,323.74282158973017,478.45996279504357,786.9785128115939
fr42_mord25,42,523.9890962511463,-1.0652025894947883,319.6985120857788,464.4606349087003,787.8081417589598
fr42_mord25,2024,528.0918192191745,-0.700738311427699,330.8768282672645,466.5718928026599,786.8267365875992
fr42_mord25,7,529.6455197239364,-0.605801330321583,323.49808356517184,478.45996279504357,786.9785128115939
cc_k2_b55,42,527.5335625358481,2.4792636952070097,322.89411985426335,471.9114011084829,787.795166644798
cc_k2_b55,2024,528.3264049397241,-0.4661525908780959,332.9790432015475,465.2451131488485,786.7550584687763
cc_k2_b55,7,529.2683484427083,-0.9829726115497124,325.3154875561368,475.79348768398785,786.6960700880002
cc_k2_b65,42,527.6399030876296,2.5856042469885097,322.89411985426335,472.23428740500685,787.7913020036185
cc_k2_b65,2024,528.2354422189975,-0.5571153116046617,332.9790432015475,464.9831579165427,786.7441255389022
cc_k2_b65,7,529.3167263088407,-0.9345947454173711,325.3154875561368,476.0105115480601,786.6241798223249
cc_k2_b70,42,527.8596331400992,2.8053342994580817,322.89411985426335,472.89536810246824,787.7894114635661
cc_k2_b70,2024,528.3730043933634,-0.41955313723872223,332.9790432015475,465.4012690803026,786.73870089824
cc_k2_b70,7,529.5607278571213,-0.6905931971367636,325.3154875561368,476.7784070002616,786.5882890149653
cc_k4_b55,42,524.9888499994837,-0.06544884115737659,322.89411985426335,464.26287937991896,787.809550764269
cc_k4_b55,2024,529.0925809827913,0.3000234521891798,332.9790432015475,467.538060334981,786.7606394118453
cc_k4_b55,7,531.0754357883266,0.8241147340685302,325.3154875561368,480.99685122443816,786.9139685844046
cc_k4_b65,42,524.4148053205572,-0.6394935200838745,322.89411985426335,462.5414861699892,787.808809937419
cc_k4_b65,2024,528.8629797762046,0.07042224560245813,332.9790432015475,466.8593171305981,786.7505789964681
cc_k4_b65,7,530.5845722615392,0.3332512072811369,325.3154875561368,479.5567129120752,786.8815163164054
cc_k4_b70,42,524.2725514259914,-0.7817474146496579,322.89411985426335,462.11499444433554,787.8085399793755
cc_k4_b70,2024,528.898364236807,0.10580670620481669,332.9790432015475,466.97047530561713,786.7455742032562
cc_k4_b70,7,530.4570713549844,0.20575030072632217,325.3154875561368,479.19040278497323,786.865323723843
cc_k5_b55,42,526.4379530708974,1.3836542302562975,322.89411985426335,468.65099331265066,787.768746045778
cc_k5_b55,2024,531.8912532919653,3.0986957613631603,332.9790432015475,475.87956653140634,786.8151501429421
cc_k5_b55,7,533.0140123509562,2.7626912966982218,325.3154875561368,486.82397322820793,786.9025762685238
cc_k5_b65,42,525.949774910494,0.8954760698529753,322.89411985426335,467.19533707408516,787.759867803134
cc_k5_b65,2024,531.7489392162028,2.956381685600604,332.9790432015475,475.45289664535017,786.8148778017105
cc_k5_b65,7,532.8301265970866,2.5788055428286043,325.3154875561368,486.3069533929443,786.8679388421789
cc_k5_b70,42,525.8281122873291,0.7738134466879956,322.89411985426335,466.83477075964197,787.7554462480819
cc_k5_b70,2024,531.7766605767687,2.984103046166524,332.9790432015475,475.5361856740502,786.8147528547081
cc_k5_b70,7,532.8490859581383,2.597764903880261,325.3154875561368,486.38112978527164,786.8506405330062
