name,seed,oof,delta,ic50,cc50,si
morgan_w15,42,523.4838233670717,0.07380329940497177,318.1826934335551,464.4606349087003,787.8081417589598
morgan_w15,2024,527.4773814780507,-0.36953325291449346,329.0335150438932,466.5718928026599,786.8267365875992
morgan_w15,7,529.5954487349862,0.020764244255929043,323.34787059832104,478.45996279504357,786.9785128115939
morgan_w20,42,523.5582497854858,0.14822971781904926,318.4059726887974,464.4606349087003,787.8081417589598
morgan_w20,2024,527.4085423700558,-0.4383723609093977,328.8269977199082,466.5718928026599,786.8267365875992
morgan_w20,7,529.6543183434677,0.07963385273740187,323.5244794237656,478.45996279504357,786.9785128115939
morgan_w25,42,523.6575162014125,0.2474961337456989,318.70377193657765,464.4606349087003,787.8081417589598
morgan_w25,2024,527.3669747762755,-0.47993995468971207,328.70229493856743,466.5718928026599,786.8267365875992
morgan_w25,7,529.7391068371577,0.1644223464273864,323.77884490483564,478.45996279504357,786.9785128115939
morgan_w30,42,523.7815530640281,0.3715329963613385,319.0758825244244,464.4606349087003,787.8081417589598
morgan_w30,2024,527.3527097394837,-0.4942049914815243,328.659499828192,466.5718928026599,786.8267365875992
morgan_w30,7,529.8497531918493,0.27506870111903936,324.1107839689104,478.45996279504357,786.9785128115939
fr_w38,42,523.4167624507686,0.0067423831018231795,317.98151068464585,464.4606349087003,787.8081417589598
fr_w38,2024,527.8965412156759,0.04962648471075681,330.29099425676907,466.5718928026599,786.8267365875992
fr_w38,7,529.6557459539935,0.08106146326315411,323.528762255343,478.45996279504357,786.9785128115939
fr_w40,42,523.4124380617516,0.0024179940847943726,317.96853751759465,464.4606349087003,787.8081417589598
fr_w40,2024,527.870832277038,0.023917546072766527,330.21386744085453,466.5718928026599,786.8267365875992
fr_w40,7,529.6143681721998,0.03968368146945522,323.4046289099619,478.45996279504357,786.9785128115939
fr_w44,42,523.4095085989928,-0.0005114686739489116,317.95974912931814,464.4606349087003,787.8081417589598
fr_w44,2024,527.8247897457094,-0.02212498525580031,330.0757398468691,466.5718928026599,786.8267365875992
fr_w44,7,529.5366967818202,-0.03798770891012282,323.17161473882305,478.45996279504357,786.9785128115939
fr_w45,42,523.4099678243291,-5.22433376772824e-05,317.96112680532707,464.4606349087003,787.8081417589598
fr_w45,2024,527.8143998047796,-0.03251492618562679,330.0445700240796,466.5718928026599,786.8267365875992
fr_w45,7,529.518339480988,-0.05634500974235834,323.11654283632635,478.45996279504357,786.9785128115939
ic65_62,42,523.3925968157879,-0.017423251878881274,317.92780424990815,464.4606349087003,787.7893512887554
ic65_62,2024,527.8767739710921,0.029859240126938857,330.2394207742013,466.5718928026599,786.8190083364154
ic65_62,7,529.6200953721145,0.04541088138421401,323.44118299731576,478.45996279504357,786.9591403239843
ic65_68,42,523.4286920982213,0.018672030554512276,317.9997650693723,464.4606349087003,787.8256763165914
ic65_68,2024,527.8180423926849,-0.02887233828028002,330.0504945773334,466.5718928026599,786.8317397980614
ic65_68,7,529.5316505291388,-0.04303396159150452,323.1352938656652,478.45996279504357,786.9996949267074
ic65_70,42,523.4418660885451,0.03184602087833355,318.02819756540475,464.4606349087003,787.8367657915303
ic65_70,2024,527.7992969141865,-0.04761781677871113,329.99257552582924,466.5718928026599,786.8334224140704
ic65_70,7,529.5046565747821,-0.07002791594823066,323.03806439501034,478.45996279504357,787.0159425342923
