name,oof_mean,delta_mean,min_delta,wins,ic50,si
pic50_ext_full20,524.8892769487585,-1.5533036815201815,-1.7665981107375046,3,324.4638845863185,781.8159909733287
pic50_ext,525.1684255610157,-1.2741550692629364,-1.605264375011302,3,325.3013304230903,781.8159909733287
full_cb15,526.3934180619403,-0.04916256833833662,-0.18222807044799083,1,323.5808162216454,787.2114826775475
full_cb20,526.3937850776988,-0.04879555257984217,-0.2252596674165943,1,323.58191726892073,787.2114826775475
full_cb25,526.4025314763367,-0.040049153942012104,-0.25941588868374765,1,323.6081564648343,787.2114826775475
ext_multiseed,526.4485873818516,0.006006751572916376,-0.02467898635381971,0,323.7396837261313,787.2181231327953
vsa_w15,526.4761554930785,0.03357486279988583,-0.15794289829318586,1,323.82902851506,787.2114826775475
vsa_w20,526.5150249510795,0.07244432080089307,-0.18298905856602232,1,323.9456368890629,787.2114826775475
pic50_fr,526.5358698041128,0.0932891738342505,-0.24960207141100454,1,324.008171448163,787.2114826775475
full25_pic50,526.8086159457981,0.3660353155195632,-0.07806888912762133,1,324.82640987321884,787.2114826775475
